GRUPO TAXONOMICO;METODO FAUNA;CAMPANHA;MODULO;TRANSECTO;PARCELA;DATA;PERIODO SAZONAL;HORARIO;FILO;CLASSE;ORDEM;FAMILIA;SUBFAMILIA;NOME CIENTIFICO;SUBESPECIE;SENSIBILIDADE;ENDEMISMO;BIOINDICADOR;STATUS DO REGISTRO;RECAPTURA OU RECUPERACAO;SEXO;IDADE;MUDAS REMIGES (MM);MUDAS RECTRIZES  (MM);MUDAS CONTORNO  (MM);PLACA DE INCUBACAO;COMPRIMENTO ASA (MM);COMPRIMENTO CAUDA (MM);COMPRIMENTO CULMEN  (MM);COMPRIMENTO TARSO  (MM);PESO 1 (G);PESO 2  (G);PESO  (G);COR IRIS;COR BICO;COR TARSO;COMPRIMENTO TOTAL (M);;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;2;21/09/2013;SECA;10:30:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;TARABA MAJOR;NI;B;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;2;86;78;25;35;101;53;48;VERMELHO;PRETO;CINZA;210;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;2;21/09/2013;SECA;11:30:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;GLAUCIS HIRSUTUS;HIRSUTUS;B;NA;NA;RECAPTURA;SIM;MACHO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;48;40;8;MARROM;PRETO MAX; AMARELO MAND;LARANJA;125;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;2;21/09/2013;SECA;12:30:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;MACHO;ADULTO;N;NAO;N;1;65;27;13;19;54;40;14;BRANCO;PRETO MAX; ROSA MAND;CINZA;110;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;06:00:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;0;65;35;14;17;45;30;15;BRANCO;CINZA;CINZA;100;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;06:00:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;RHEGMATORHINA GYMNOPS;NI;A;1;1;ANILHADO;NAO;MACHO;ADULTO;N;NAO;N;0;78;60;15;25;75;55;20;CASTANHO;PRETO;CINZA;155;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;06:00:00;CHORDATA;AVES;PASSERIFORMES;FORMICARIIDAE;NA;FORMICARIUS ANALIS;PARAENSIS;M;1;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;82;50;17;30;75;45;30;CASTANHO ESCURO;PRETO;CINZA;170;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;06:00:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;NC;NC;NC;NC;65;50;15;CASTANHO ESCURO;CINZA;CINZA;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;06:00:00;CHORDATA;AVES;PASSERIFORMES;TURDIDAE;NA;TURDUS ALBICOLLIS;PHAEOPYGUS;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;1;105;95;15;30;80;35;45;CASTANHO;AMARELO;CINZA;200;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;06:00:00;CHORDATA;AVES;PASSERIFORMES;PLATYRINCHIDAE;NA;PLATYRINCHUS CORONATUS;CORONITUS;A;1;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;1;57;30;10;18;46;35;11;CASTANHO ESCURO;CINZA;CINZA;80;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;06:00:00;CHORDATA;AVES;PASSERIFORMES;SCLERURIDAE;NA;SCLERURUS CAUDACUTUS;NI;A;NA;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;94;84;20;20;70;35;35;CASTANHO ESCURO;CINZA;CINZA;178;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;06:00:00;CHORDATA;AVES;PASSERIFORMES;SCLERURIDAE;NA;SCLERURUS MACCONNELLI;NI;A;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;80;70;20;18;60;40;20;CASTANHO ESCURO;CINZA;CINZA;154;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;08:00:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SPOROPHILA ANGOLENSIS;NI;B;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;0;55;55;10;15;55;45;10;CASTANHO ESCURO;CINZA;CINZA;120;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;08:00:00;CHORDATA;AVES;PASSERIFORMES;TURDIDAE;NA;TURDUS ALBICOLLIS;PHAEOPYGUS;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;105;95;30;30;100;50;50;CASTANHO;CINZA;CINZA;105;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;08:00:00;CHORDATA;AVES;PASSERIFORMES;FORMICARIIDAE;NA;FORMICARIUS COLMA;AMAZONICUS;A;NA;NA;RECAPTURA;SIM;INDETERMINADO;ADULTO;N;NAO;N;0;NC;NC;NC;NC;70;35;35;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;08:00:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;RECAPTURA;SIM;FEMEA;ADULTO;N;NAO;N;0;NC;NC;NC;NC;40;30;10;BRANCO;CINZA;CINZA;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;08:00:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;PHAETHORNIS SUPERCILIOSUS;MUELLERI;A;1;1;SOLTO S/ ANILHA;NA;INDETERMINADO;ADULTO;N;NAO;N;0;NC;NC;NC;NC;40;35;5;NC;NC;NC;145;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;08:00:00;CHORDATA;AVES;GALBULIFORMES;GALBULIDAE;NA;GALBULA CYANICOLLIS;NI;A;1;NA;ANILHADO;NAO;MACHO;ADULTO;N;NAO;N;0;84;90;35;15;60;35;25;CASTANHO ESCURO;AMARELO;AMARELO;200;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SALTATOR MAXIMUS;MAXIMUS;B;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;100;97;18;27;70;40;30;CASTANHO ESCURO;CINZA;CINZA;185;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;HYLOPHYLAX NAEVIUS;OCHRACEUS;A;1;NA;RECAPTURA;SIM;MACHO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;45;35;10;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;10:00:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;THRENETES LEUCURUS;MEDIANUS;M;1;1;SOLTO S/ ANILHA;NA;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;55;35;34;NC;40;35;5;PRETO;CINZA;CINZA;110;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;HYLOPHYLAX NAEVIUS;OCHRACEUS;A;1;NA;RECAPTURA;SIM;FEMEA;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;50;35;15;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;RHYNCHOCYCLIDAE;NA;TOLMOMYIAS SULPHURESCENS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;63;60;14;20;45;35;10;CASTANHO;CINZA;CINZA;100;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;0;58;48;10;18;50;38;12;BRANCO;CINZA;CINZA;110;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;THAMNOPHILUS SCHISTACEUS;SCHISTACEUS;A;1;1;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;0;60;62;17;18;50;30;20;CASTANHO;CINZA;CINZA;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;CERCOMACROIDES NIGRESCENS;OCHROGYNI;M;1;1;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;0;65;65;15;25;55;37;18;CINZA;CINZA;CINZA;150;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;22/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;RHYNCHOCYCLIDAE;NA;MIONECTES MACCONNELLI;NI;A;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;60;60;17;18;50;40;10;PRETO;AMARELADO;CINZA;120;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;07:00:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;MACHO;ADULTO;N;NAO;N;0;62.2;29;9.5;16;NC;NC;NC;BRANCO;CINZA;ROXO;103;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;07:00:00;CHORDATA;AVES;PASSERIFORMES;PLATYRINCHIDAE;NA;PLATYRINCHUS CORONATUS;CORONITUS;A;1;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;54.2;27;11.2;14;61.5;58;3.5;CASTANHO;MAX;PRETO/MAND;BRANCO;ROSA;87;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;07:00:00;CHORDATA;AVES;PASSERIFORMES;TURDIDAE;NA;TURDUS ALBICOLLIS;PHAEOPYGUS;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;99.2;77.2;17.8;31.2;95;42;53;CASTANHO;MAX; PRETO/MAND; CINZA;CINZA;NA;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;07:00:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;WILLISORNIS VIDUA;VIDUA;M;1;NA;ANILHADO;NAO;MACHO;ADULTO;N;NAO;N;2;60;41.6;15;22.9;52;36;16;CASTANHO;MAX; PRETO/MAND; CINZA;CINZA;121;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;08:00:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;HYLOPHYLAX NAEVIUS;OCHRACEUS;A;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;1;37;32.2;17;19;NC;NC;NC;CASTANHO;PRETO;ROSA;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;08:00:00;CHORDATA;AVES;PASSERIFORMES;SCLERURIDAE;NA;SCLERURUS CAUDACUTUS;NI;A;NA;1;RECAPTURA;SIM;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;1;61;26.6;11.4;17;50;35;15;BRANCO;CINZA;ROXO;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;1;66.5;68.7;13.1;18.2;57;41;16;CASTANHO;CINZA;CINZA;154;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;RHYNCHOCYCLIDAE;NA;MIONECTES OLEAGINEUS;OLEAGINEUS;M;1;NA;RECUPERA?AO;SIM;INDETERMINADO;ADULTO;N;NAO;N;0;61;48.2;10.5;16;51;41;10;CASTANHO;MAX; CINZA/MAND; AMARELADA;CINZA;118;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;0;61.8;26.8;10.8;18.2;52;35;17;BRANCO;CINZA;ROXO;110;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;10:00:00;CHORDATA;AVES;PASSERIFORMES;FURNARIIDAE;NA;PHILYDOR ERYTHROCERCUM;NI;A;1;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;80;76.2;19.8;21.5;88;58;30;CASTANHO;AMARELO;BEGE;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;12:00:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SALTATOR GROSSUS;NI;M;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;0;88.6;75;16.7;24.2;81;49;32;CASTANHO;VERMELHO;CINZA;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;4;5;1;1;23/09/2013;SECA;12:00:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SALTATOR GROSSUS;NI;M;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;4;91;84.2;19;25.2;72;40;32;CASTANHO;VERMELHO;PRETO;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;07:10:00;CHORDATA;AVES;PASSERIFORMES;PASSERELLIDAE;NA;ARREMON TACITURNUS;TACITURNUS;M;NA;NA;RECAPTURA;SIM;MACHO;ADULTO;N;N;N;0;73.5;65;15;30;73;47;26;CASTANHO;PRETO;CINZA;160;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;07:10:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;DENDROCINCLA FULIGINOSA;NI;A;1;1;ANILHADO;NAO;INDETERMINADO;ADULTO;6; 7P;N;N;0;106;107;29;20;94;50;44;CASTANHO;PRETO;CINZA;257;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;07:10:00;CHORDATA;AVES;PASSERIFORMES;PASSERELLIDAE;NA;ARREMON TACITURNUS;TACITURNUS;M;NA;NA;RECAPTURA;SIM;FEMEA;ADULTO;N;N;N;2;68;62;15;25;78;51;27;CASTANHO;PRETO;CINZA;153;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;08:30:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SALTATOR MAXIMUS;MAXIMUS;B;NA;NA;RECAPTURA;SIM;INDETERMINADO;ADULTO;2S;2;N;0;93;89;20;26;89;49;40;CASTANHO;PRETO;CINZA;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;08:30:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;MYRMOBORUS LEUCOPHRYS;NI;M;1;1;RECAPTURA;SIM;FEMEA;ADULTO;N;N;N;2;66;52;29;27;79;59;20;CASTANHO;PRETO;AMARELO;147;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;08:30:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;RECAPTURA;SIM;INDETERMINADO;ADULTO;N;N;N;1;71;75;12;17;75;59;16;CASTANHO;CINZA;CINZA;155;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;09:20:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;GLAUCIS HIRSUTUS;HIRSUTUS;B;NA;NA;SOLTO S/ ANILHA;NA;MACHO;ADULTO;N;N;N;0;60;38.5;34;4;57;50;7;CASTANHO;MAX. PRETO/MAND. AMARELA;LARANJA;130;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;09:20:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;N;N;0;69.5;77;15;18;60;44;16;CASTANHO;CINZA;CINZA;165;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;09:20:00;CHORDATA;AVES;PASSERIFORMES;RHYNCHOCYCLIDAE;NA;MIONECTES OLEAGINEUS;OLEAGINEUS;M;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;N;N;2;57;47;11;14;62;52;10;CASTANHO;MAX. PRETO/MAND. BEGE;CINZA;120;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;09:20:00;CHORDATA;AVES;PASSERIFORMES;TYRANNIDAE;NA;ATTILA CINNAMOMEUS;NI;A;1;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;N;N;2;89;88;19;24;92;52;40;CASTANHO;PRETO;CINZA;211;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;09:20:00;CHORDATA;AVES;CUCULIFORMES;CUCULIDAE;NA;CROTOPHAGA ANI;NI;B;NA;NA;FUGA;NAO;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;09:20:00;CHORDATA;AVES;CUCULIFORMES;CUCULIDAE;NA;CROTOPHAGA ANI;NI;B;NA;NA;FUGA;NAO;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;09:20:00;CHORDATA;AVES;CUCULIFORMES;CUCULIDAE;NA;CROTOPHAGA ANI;NI;B;NA;NA;FUGA;NAO;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;10:30:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;CERCOMACROIDES NIGRESCENS;OCHROGYNI;M;1;1;ANILHADO;NAO;FEMEA;ADULTO;N;N;N;0;62;62;18.5;23.5;73;52;21;CINZA;CINZA;CINZA;160;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;10:30:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;SCIAPHYLAX PALLENS;NI;M;1;1;ANILHADO;NAO;MACHO;ADULTO;N;N;N;0;54;36;16;24.5;57;43;14;CASTANHO;PRETO;ROSA;125;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;24/01/2014;ENCHENTE;12:00:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SPOROPHILA ANGOLENSIS;NI;B;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;N;N;2;57;49;14;17;71;58;13;CASTANHO;PRETO;PRETO;130;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;08:00:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;MYRMOBORUS LEUCOPHRYS;NI;M;1;1;RECAPTURA;SIM;MACHO;ADULTO;N;N;N;1;69;49;28;26;62;42;20;CASTANHO;PRETO;CINZA;149;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;08:00:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;GLAUCIS HIRSUTUS;HIRSUTUS;B;NA;NA;SOLTO S/ ANILHA;NA;MACHO;ADULTO;N;N;N;0;59;43;35;4.5;59;52;7;CASTANHO;MAX. PRETO/MAND. AMARELO;LARANJA;131;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;08:00:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;MYRMOTHERULA AXILLARIS;AXILLARIS;M;NA;NA;RECAPTURA;SIM;MACHO;ADULTO;N;N;N;1;54;40;15;15;66;57;9;CASTANHO;PRETO;CINZA;115;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;08:00:00;CHORDATA;AVES;GALBULIFORMES;BUCCONIDAE;NA;NONNULA RUFICAPILLA;RUFICAPILLA;M;NA;NA;RECAPTURA;SIM;INDETERMINADO;ADULTO;N;N;N;0;58;56;24;14;66;50;16;NC;NC;NC;153;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;08:00:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;DENDROCINCLA FULIGINOSA;NI;A;1;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;2;N;0;98;90;28;25;90;51.5;38.5;CINZA;PRETO;CINZA;220;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;08:00:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SALTATOR MAXIMUS;MAXIMUS;B;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;N;N;0;87.5;83.5;6.5;21;96;56;40;CASTANHO;MAX. PRETO/MAND. BRANCO;CINZA;210;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;09:00:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;DENDROCOLAPTES RIDGWAYI;NI;A;NA;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;2;N;0;124;122;36;27;110;53;57;CASTANHO;CINZA;CINZA;295;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;09:00:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;5P;N;N;0;67;69;11.5;12;67;52;15;CASTANHO;CINZA;CINZA;160;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;09:00:00;CHORDATA;AVES;PASSERIFORMES;ONYCHORHYNCHIDAE;NA;ONYCHORHYNCHUS CORONATUS;NI;A;1;NA;ANILHADO;NAO;MACHO;ADULTO;N;N;N;0;77;65;21;16.5;66;49;17;CASTANHO;MAX. PRETO/MAND. AMARELO;AMARELO;175;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;09:00:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;DENDROPLEX PICUS;PICUS;B;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;N;N;0;92;87;22;20;88;54;34;CASTANHO;BRANCO;CINZA;222;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;09:30:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;N;N;1;66;66;14;17;79;60;19;CASTANHO;CINZA;CINZA;158;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;2;25/01/2014;ENCHENTE;10:30:00;CHORDATA;AVES;COLUMBIFORMES;COLUMBIDAE;NA;LEPTOTILA RUFAXILLA;RUFAXILLA;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;N;N;0;128;95;21;26;210;80;130;VERDE;PRETO;ROSA;257;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;5;5;1;1;26/01/2014;ENCHENTE;07:30:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;WILLISORNIS VIDUA;VIDUA;M;1;NA;ANILHADO;NAO;MACHO;ADULTO;5P; 1S;N;N;1;64;45;16;22.5;74;57;17;CASTANHO;PRETO;CINZA;130;;;;;
