GRUPO TAXONOMICO;METODO FAUNA;CAMPANHA;MODULO;TRANSECTO;PARCELA;DATA;PERIODO SAZONAL;HORARIO;FILO;CLASSE;ORDEM;FAMILIA;SUBFAMILIA;NOME CIENTIFICO;SUBESPECIE;SENSIBILIDADE;ENDEMISMO;BIOINDICADOR;STATUS DO REGISTRO;RECAPTURA OU RECUPERACAO;SEXO;IDADE;MUDAS REMIGES (MM);MUDAS RECTRIZES  (MM);MUDAS CONTORNO  (MM);PLACA DE INCUBACAO;COMPRIMENTO ASA (MM);COMPRIMENTO CAUDA (MM);COMPRIMENTO CULMEN  (MM);COMPRIMENTO TARSO  (MM);PESO 1 (G);PESO 2  (G);PESO  (G);COR IRIS;COR BICO;COR TARSO;COMPRIMENTO TOTAL (M);;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;10:36:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;PYRIGLENA SIMILIS;NA;M;NA;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;V;3;70.2;75.3;16.3;33;65;25;40;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;10:36:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;DV;3;58.5;27.1;10.9;16.2;44;27;17;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;10:36:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;HYPOCNEMIS STRIATA;NI;M;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;CDV;3;48;38.3;15.4;20.5;43;31;12;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;10:36:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;3;64.5;68.2;12.5;16.2;44;30;14;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;11:05:00;CHORDATA;AVES;PASSERIFORMES;XENOPIDAE;NA;XENOPS MINUTUS;GENIBARBIS;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;V;3;58;51;12.5;11.2;39.5;29;10.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;11:05:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;MYRMOTHERULA AXILLARIS;AXILLARIS;M;NA;NA;COLETADO;NAO;FEMEA;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;7;MARROM;PRETO C/ BRANCO;CINZA CHUMBO;115;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;11:05:00;CHORDATA;AVES;PASSERIFORMES;PASSERELLIDAE;NA;ARREMON TACITURNUS;TACITURNUS;M;NA;NA;COLETADO;NAO;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;22.5;CASTANHO;PRETO;CINZA CHUMBO;154;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;11:05:00;CHORDATA;AVES;PASSERIFORMES;SCLERURIDAE;NA;SCLERURUS CAUDACUTUS;NI;A;NA;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;2;NC;NC;NC;NC;66;29;37;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;11:29:00;CHORDATA;AVES;PASSERIFORMES;TURDIDAE;NA;TURDUS ALBICOLLIS;PHAEOPYGUS;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;3;94;69;11.8;28;88;30;58;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;11:29:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;WILLISORNIS VIDUA;VIDUA;M;1;NA;ANILHADO;NAO;FEMEA;JOVEM;N;NAO;N;2;60.8;38;8.4;19.9;45;30;15;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;11:29:00;CHORDATA;AVES;COLUMBIFORMES;COLUMBIDAE;NA;LEPTOTILA VERREAUXI;NI;B;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;3;122;90.7;19;27;170;30;140;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;11:29:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;PHAETHORNIS BOURCIERI;MAJOR;A;1;1;FUGA;NAO;INDETERMINADO;ADULTO;N;NAO;N;2;55;53;34;2.8;28;22;6;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;11:29:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;PHAETHORNIS RUBER;RUBER;M;NA;NA;FUGA;NAO;INDETERMINADO;ADULTO;N;NAO;N;2;28.5;NC;22;15;28;26;4;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;11:29:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;3;60.3;20.5;8;13;43;28.5;14.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;11:29:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;3;59.7;26;8.5;13;43.5;30;13.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;11:29:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;3;61;28;7.5;13;46.5;30.5;16;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;11:29:00;CHORDATA;AVES;GALBULIFORMES;BUCCONIDAE;NA;MALACOPTILA RUFA;BRUNNESCENS;A;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;10P;NAO;D;1;85;61.6;22;14.7;68;24;44;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;12:08:00;CHORDATA;AVES;PASSERIFORMES;PLATYRINCHIDAE;NA;PLATYRINCHUS CORONATUS;CORONITUS;A;1;1;COLETADO;NAO;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;10;MARROM;PRETO C/ BRANCO;CINZA;109;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;12:08:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;FORMICIVORA GRISEA;NI;A;NA;NA;COLETADO;NAO;FEMEA;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;9.5;MARROM;PRETO;CINZA;137;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;12:43:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;THRENETES LEUCURUS;MEDIANUS;M;1;1;COLETADO;NAO;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;4.5;MARROM;PRETO;ROSEO;115;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;12:43:00;CHORDATA;AVES;PASSERIFORMES;FURNARIIDAE;NA;AUTOMOLUS PARAENSIS;NI;A;1;NA;COLETADO;NAO;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;31;AMARELO CLARO;MARROM CLARO;CREME;190;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;12:43:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;PHLEGOPSIS NIGROMACULATA;BOWMANI;M;1;1;COLETADO;NAO;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;39;MARROM;PRETO;PRETO;179;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;19/04/2012;CHEIA;12:43:00;CHORDATA;AVES;CORACIIFORMES;ALCEDINIDAE;NA;CHLOROCERYLE AENEA;AENEA;M;NA;NA;COLETADO;NAO;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;14;MARROM ESCURO;PRETO;MARROM ACINZENTADO;145;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;25/04/2012;CHEIA;12:43:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;HYPOCNEMIS STRIATA;NI;M;1;NA;ANILHADO;NAO;MACHO;ADULTO;N;NAO;N;3;56;40;14.5;20.6;43.5;30;13.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;25/04/2012;CHEIA;12:43:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;MACHO;JOVEM;N;NAO;D;3;65;33;10.2;15.9;46.5;30.5;16;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;25/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SALTATOR MAXIMUS;MAXIMUS;B;NA;NA;ANILHADO;NAO;INDETERMINADO;JOVEM;N;NAO;D;3;99;91;18.2;24.4;66.5;25.5;40;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;25/04/2012;CHEIA;05:55:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;THALURANIA FURCATA;BALZANI;M;NA;NA;FUGA;NAO;MACHO;ADULTO;N;NAO;N;3;52;33;21.2;NC;36;31.5;5.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;RHYNCHOCYCLIDAE;NA;MIONECTES MACCONNELLI;NI;A;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;P1;NAO;CD;3;53.5;39.4;5.5;14.4;38.5;29.5;9;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SALTATOR MAXIMUS;MAXIMUS;B;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;CD;3;84.4;73.1;15.3;25.1;67;29;38;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;TARABA MAJOR;NI;B;NA;NA;ANILHADO;NAO;MACHO;ADULTO;N;NAO;CDV;3;78.5;73.3;22.6;33.9;83;25;58;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;VOLATINIA JACARINA;NI;B;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;P7;8;NAO;N;3;40.3;46.9;12.4;15.4;42.5;29.5;13;NC;NC;NC;NA;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;P1;5;NAO;DV;3;64.8;65.5;13;15.2;33.5;28;5.5;NC;NC;NC;NA;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;MYRMOBORUS LEUCOPHRYS;NI;M;1;1;ANILHADO;NAO;MACHO;ADULTO;N;NAO;N;3;62.4;51.7;19.9;23.6;51;29.5;21.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;MYRMOTHERULA AXILLARIS;AXILLARIS;M;NA;NA;ANILHADO;NAO;MACHO;JOVEM;N;NAO;C;3;38.2;38.4;13.1;13.7;36.5;29;7.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;VOLATINIA JACARINA;NI;B;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;CDV;3;52.6;47.9;11.3;15.2;41.5;29;12.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;3;58.9;25.7;10.7;16.5;43;28.5;14.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;3;58.2;26;9.9;14.1;43;28;15;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;DV;3;59.2;27.3;9.2;14.9;47.5;23.5;24;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;3;62.6;63.4;11.6;14.3;42;28.5;13.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;MYRMOBORUS LEUCOPHRYS;NI;M;1;1;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;CV;3;58.1;45.3;18.7;27.7;48.5;29;19.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;RHYNCHOCYCLIDAE;NA;MIONECTES MACCONNELLI;NI;A;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;CDV;3;56.2;47.3;8.1;12.5;39;28.5;10.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;RAMPHOCELUS CARBO;CARBO;B;NA;NA;ANILHADO;NAO;MACHO;ADULTO;P1;2;NAO;N;3;75.7;75.4;12.5;22.2;54.5;29;25.5;NC;NC;NC;NA;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;3;69.6;65.7;12.4;13;43.5;26;17.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;TACHYPHONUS RUFUS;NI;B;NA;NA;ANILHADO;NAO;MACHO;ADULTO;N;NAO;DV;3;69.8;77.4;19.6;22.2;60;28;32;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;CARDINALIDAE;NA;CYANOLOXIA ROTHSCHILDII;ROHTSCHILDII;M;1;NA;ANILHADO;NAO;MACHO;ADULTO;N;NAO;N;3;74.2;64.6;4.1;24.5;55;28.5;26.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;RHYNCHOCYCLIDAE;NA;MIONECTES MACCONNELLI;NI;A;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;DV;3;51;45.6;10.7;14;48;29;19;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SALTATOR MAXIMUS;MAXIMUS;B;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;V;3;87.4;81.9;18.7;26.6;70;29;41;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;DENDROPLEX PICUS;PICUS;B;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;P7;NAO;CD;3;89.9;74.4;23.3;19.2;68;28.5;39.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;MACHO;ADULTO;N;NAO;CV;3;58.4;21.9;7.9;15.1;38.5;22;16.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;RAMPHOCELUS CARBO;CARBO;B;NA;NA;ANILHADO;NAO;INDETERMINADO;JOVEM;N;NAO;N;3;69.5;73.7;10.8;19.6;47;23;24;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;DENDROPLEX PICUS;PICUS;B;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;CDV;3;97.6;68.7;23.9;18.7;92;32.5;59.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;2;18/04/2012;CHEIA;05:55:00;CHORDATA;AVES;PASSERIFORMES;THRAUPIDAE;NA;SALTATOR MAXIMUS;MAXIMUS;B;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;CDV;3;81.8;81.4;10.7;25.8;78.5;26.5;52;NC;NC;NC;NA;;;;;;
