SITE;MUNICIPALITY;STATE;LAT_Y_POINT;LONG_X_POINT;LAND_USE_surrounding_100m;COL_END_YR;ORDER;FAMILY;GENUS;SPECIES;OCCUR;NUMBER_OF_RECORDS
IFTREF7;Paragominas;PA;-3.69696;-48.46444;Forest;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;9
IFTREF8;Paragominas;PA;-3.71111;-48.47323;Forest;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;10
CNV06;Paragominas;PA;-3.02065;-47.77956;Logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;5
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;5
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;16
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;3
CNV12;Paragominas;PA;-3.17981;-47.76374;Logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;14
CNV13;Paragominas;PA;-2.99702;-47.74525;Logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;8
CNV16;Paragominas;PA;-3.00472;-47.74602;Logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;1
IFTREF10;Paragominas;PA;-3.72741;-48.48464;Forest;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;2
IFTREF2;Paragominas;PA;-3.73216;-48.28948;Forest;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;11
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;13
IFTREF7;Paragominas;PA;-3.69696;-48.46444;Forest;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;8
IFTREF8;Paragominas;PA;-3.71111;-48.47323;Forest;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;25
REF04;Paragominas;PA;-3.59157;-48.60641;Logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;23
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;89
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;1
CNV13;Paragominas;PA;-2.99702;-47.74525;Logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;50
CNV16;Paragominas;PA;-3.00472;-47.74602;Logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;8
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;74
IFTREF7;Paragominas;PA;-3.69696;-48.46444;Forest;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;2
IFTREF8;Paragominas;PA;-3.71111;-48.47323;Forest;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;7
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus ocellifer;1;15
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus ocellifer;1;2
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus ocellifer;1;11
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus ocellifer;1;18
CNV16;Paragominas;PA;-3.00472;-47.74602;Logging;2013;Characiformes;Erythrinidae;Hoplerythrinus;Hoplerythrinus unitaeniatus;1;1
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;3
CNV13;Paragominas;PA;-2.99702;-47.74525;Logging;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;1
IFTREF10;Paragominas;PA;-3.72741;-48.48464;Forest;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;3
IFTREF2;Paragominas;PA;-3.73216;-48.28948;Forest;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;1
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;1
IFTREF6;Paragominas;PA;-3.69891;-48.46499;Forest;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;4
CNV05;Paragominas;PA;-2.96445;-47.73679;Logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;422
CNV06;Paragominas;PA;-3.02065;-47.77956;Logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;453
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;4
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;112
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;82
CNV12;Paragominas;PA;-3.17981;-47.76374;Logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;416
CNV13;Paragominas;PA;-2.99702;-47.74525;Logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;71
CNV16;Paragominas;PA;-3.00472;-47.74602;Logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;607
IFTREF10;Paragominas;PA;-3.72741;-48.48464;Forest;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;547
IFTREF2;Paragominas;PA;-3.73216;-48.28948;Forest;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;222
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;101
IFTREF6;Paragominas;PA;-3.69891;-48.46499;Forest;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;426
IFTREF7;Paragominas;PA;-3.69696;-48.46444;Forest;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;12
IFTREF8;Paragominas;PA;-3.71111;-48.47323;Forest;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;63
REF04;Paragominas;PA;-3.59157;-48.60641;Logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;121
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;21
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;32
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;2
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;72
IFTREF7;Paragominas;PA;-3.69696;-48.46444;Forest;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;63
IFTREF8;Paragominas;PA;-3.71111;-48.47323;Forest;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;39
REF04;Paragominas;PA;-3.59157;-48.60641;Logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;6
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;8
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;4
CNV13;Paragominas;PA;-2.99702;-47.74525;Logging;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;17
IFTREF10;Paragominas;PA;-3.72741;-48.48464;Forest;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;2
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;2
IFTREF7;Paragominas;PA;-3.69696;-48.46444;Forest;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;1
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Siluriformes;Callichthyidae;Megalechis;Megalechis picta;1;1
CNV06;Paragominas;PA;-3.02065;-47.77956;Logging;2013;Siluriformes;Callichthyidae;Megalechis;Megalechis thoracata;1;1
CNV05;Paragominas;PA;-2.96445;-47.73679;Logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;11
CNV06;Paragominas;PA;-3.02065;-47.77956;Logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;85
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;29
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;26
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;188
CNV12;Paragominas;PA;-3.17981;-47.76374;Logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;63
CNV13;Paragominas;PA;-2.99702;-47.74525;Logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;95
CNV16;Paragominas;PA;-3.00472;-47.74602;Logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;58
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;13
IFTREF7;Paragominas;PA;-3.69696;-48.46444;Forest;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;2
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Gymnotiformes; Hypopomidae;Microsternarchus;Microsternarchus aff. bilineatus;1;1
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Gymnotiformes; Hypopomidae;Microsternarchus;Microsternarchus aff. bilineatus;1;1
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Gymnotiformes; Hypopomidae;Microsternarchus;Microsternarchus aff. bilineatus;1;22
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Gymnotiformes; Hypopomidae;Microsternarchus;Microsternarchus aff. bilineatus;1;1
CNV05;Paragominas;PA;-2.96445;-47.73679;Logging;2013;Characiformes;Characidae;Moenkhausia;Moenkhausia oligolepis;1;2
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Characiformes;Characidae;Moenkhausia;Moenkhausia oligolepis;1;2
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Characiformes;Characidae;Moenkhausia;Moenkhausia oligolepis;1;3
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Characiformes;Characidae;Moenkhausia;Moenkhausia oligolepis;1;1
IFTREF2;Paragominas;PA;-3.73216;-48.28948;Forest;2013;Characiformes;Characidae;Moenkhausia;Moenkhausia oligolepis;1;1
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Characiformes;Characidae;Moenkhausia;Moenkhausia oligolepis;1;1
CNV05;Paragominas;PA;-2.96445;-47.73679;Logging;2013;Cichliformes;Cichlidae;Nannacara;Nannacara taenia;1;2
CNV06;Paragominas;PA;-3.02065;-47.77956;Logging;2013;Cichliformes;Cichlidae;Nannacara;Nannacara taenia;1;7
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Cichliformes;Cichlidae;Nannacara;Nannacara taenia;1;1
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Cichliformes;Cichlidae;Nannacara;Nannacara taenia;1;7
CNV13;Paragominas;PA;-2.99702;-47.74525;Logging;2013;Cichliformes;Cichlidae;Nannacara;Nannacara taenia;1;4
CNV16;Paragominas;PA;-3.00472;-47.74602;Logging;2013;Cichliformes;Cichlidae;Nannacara;Nannacara taenia;1;17
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;1
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;12
CNV12;Paragominas;PA;-3.17981;-47.76374;Logging;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;4
CNV13;Paragominas;PA;-2.99702;-47.74525;Logging;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;3
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;13
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Siluriformes;Trichomycteridae;Paracanthopoma;Paracanthopoma sp.;1;3
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Siluriformes;Trichomycteridae;Paracanthopoma;Paracanthopoma sp.;1;3
IFTREF6;Paragominas;PA;-3.69891;-48.46499;Forest;2013;Siluriformes;Trichomycteridae;Paracanthopoma;Paracanthopoma sp.;1;1
IFTREF7;Paragominas;PA;-3.69696;-48.46444;Forest;2013;Siluriformes;Trichomycteridae;Paracanthopoma;Paracanthopoma sp.;1;14
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Siluriformes;Heptapteridae;Pimelodella;Pimelodella sp.;1;9
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Siluriformes;Heptapteridae;Pimelodella;Pimelodella sp.;1;1
CNV05;Paragominas;PA;-2.96445;-47.73679;Logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;18
CNV06;Paragominas;PA;-3.02065;-47.77956;Logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;29
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;4
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;22
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;16
CNV12;Paragominas;PA;-3.17981;-47.76374;Logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;18
CNV13;Paragominas;PA;-2.99702;-47.74525;Logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;15
CNV16;Paragominas;PA;-3.00472;-47.74602;Logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;28
IFTREF10;Paragominas;PA;-3.72741;-48.48464;Forest;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;107
IFTREF2;Paragominas;PA;-3.73216;-48.28948;Forest;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;40
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;16
IFTREF6;Paragominas;PA;-3.69891;-48.46499;Forest;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;81
IFTREF7;Paragominas;PA;-3.69696;-48.46444;Forest;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;15
IFTREF8;Paragominas;PA;-3.71111;-48.47323;Forest;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;7
REF04;Paragominas;PA;-3.59157;-48.60641;Logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;23
CNV06;Paragominas;PA;-3.02065;-47.77956;Logging;2013;Siluriformes;Heptapteridae;Rhamdia;Rhamdia?muelleri;1;1
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Siluriformes;Heptapteridae;Rhamdia;Rhamdia?muelleri;1;1
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Siluriformes;Heptapteridae;Rhamdia;Rhamdia?muelleri;1;5
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Siluriformes;Loricariidae;Rineloricaria;Rineloricaria sp.;1;2
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Gymnotiformes; Sternopygidae;Sternopygus;Sternopygus macrurus;1;1
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Gymnotiformes; Sternopygidae;Sternopygus;Sternopygus macrurus;1;1
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Gymnotiformes; Sternopygidae;Sternopygus;Sternopygus macrurus;1;1
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Siluriformes;Auchenipteridae;Tetranematichthys;Tetranematichthys wallacei;1;1
CNV07;Paragominas;PA;-3.02752;-47.7661;Logging;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;1
CNV09;Paragominas;PA;-3.06172;-47.78866;Logging;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;3
CNV10;Paragominas;PA;-2.99559;-47.77047;Logging;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;3
CNV12;Paragominas;PA;-3.17981;-47.76374;Logging;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;1
CNV13;Paragominas;PA;-2.99702;-47.74525;Logging;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;8
CNV16;Paragominas;PA;-3.00472;-47.74602;Logging;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;11
IFTREF5;Paragominas;PA;-3.65307;-48.47472;Forest;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;3
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Siluriformes;Doradidae;Acanthodoras;Acanthodoras cataphractus;1;1
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;2
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;2
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;13
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;50
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;5
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;6
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;1
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;3
UPA7UT30;Paragominas;PA;-3.70937;-48.56151;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;2
UPA7UT30-2;Paragominas;PA;-3.70929;-48.56111;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;1
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;2
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;2
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;2
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;2
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;4
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;1
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;3
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;9
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;1
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;3
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;7
UPA7UT30;Paragominas;PA;-3.70937;-48.56151;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;1
UPA7UT30-2;Paragominas;PA;-3.70929;-48.56111;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;31
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;2
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;2
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma?agassizii;1;13
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;71
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;49
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;54
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;58
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;27
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;76
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;18
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;35
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;97
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;67
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;47
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;4
UPA7UT30-2;Paragominas;PA;-3.70929;-48.56111;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;10
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;54
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;20
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Siluriformes;Pseudopimelodidae;Batrochoglanis;Batrochoglanis raninus;1;2
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus beebei;1;1
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus beebei;1;1
UPA7UT30;Paragominas;PA;-3.70937;-48.56151;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus beebei;1;29
UPA7UT30-2;Paragominas;PA;-3.70929;-48.56111;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus beebei;1;26
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.2;1;3
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.2;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.2;1;1
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.2;1;1
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.2;1;4
UPA7UT30-2;Paragominas;PA;-3.70929;-48.56111;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.2;1;4
